fold,path,TRUE,path,lat,lon,TRUE
3,/content/0310_post_folder/0310_post_folder/folder_0/1001365057654079_vs_1615483699314624(3)/1615483699314624_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1001365057654079_vs_1615483699314624(3)/1615483699314624_2024.png,29.44397956,-83.28268111,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1001982311142812_vs_873181044952623(1)/873181044952623_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1001982311142812_vs_873181044952623(1)/873181044952623_2024.png,29.43978911,-83.29295397,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1005933120857164_vs_888651662930038(3)/888651662930038_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1005933120857164_vs_888651662930038(3)/888651662930038_2024.png,29.43977042,-83.28521848,mild
1,/content/0310_post_folder/0310_post_folder/folder_0/1006257200687880_vs_459972380427296(3)/459972380427296_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1006257200687880_vs_459972380427296(3)/459972380427296_2024.png,29.43713086,-83.29383373,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1006318940563700_vs_528488659914688(3)/528488659914688_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1006318940563700_vs_528488659914688(3)/528488659914688_2024.png,29.43981714,-83.29014838,mild
1,/content/0310_post_folder/0310_post_folder/folder_0/1007653503749564_vs_525975320288449(3)/525975320288449_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1007653503749564_vs_525975320288449(3)/525975320288449_2024.png,29.43967699,-83.29321146,mild
3,/content/0310_post_folder/0310_post_folder/folder_0/1007747243794329_vs_1806801453183777(1)/1806801453183777_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1007747243794329_vs_1806801453183777(1)/1806801453183777_2024.png,29.44226976,-83.28153849,mild
3,/content/0310_post_folder/0310_post_folder/folder_0/1008688026847728_vs_3510548662584190(2)/3510548662584190_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1008688026847728_vs_3510548662584190(2)/3510548662584190_2024.png,29.43910703,-83.29162359,mild
1,/content/0310_post_folder/0310_post_folder/folder_0/1008954953883140_vs_1218240882778509(3)/1218240882778509_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1008954953883140_vs_1218240882778509(3)/1218240882778509_2024.png,29.4381026,-83.28785241,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1009640337128019_vs_1204262907541832(2)/1204262907541832_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1009640337128019_vs_1204262907541832(2)/1204262907541832_2024.png,29.443447,-83.28263819,mild
3,/content/0310_post_folder/0310_post_folder/folder_0/1010961956597347_vs_513774708125503(2)/513774708125503_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1010961956597347_vs_513774708125503(2)/513774708125503_2024.png,29.43707947,-83.29502463,mild
1,/content/0310_post_folder/0310_post_folder/folder_0/1012343883441817_vs_1084360133104958(2)/1084360133104958_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1012343883441817_vs_1084360133104958(2)/1084360133104958_2024.png,29.43735044,-83.29549134,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1014493733078300_vs_2672433022940378(3)/2672433022940378_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1014493733078300_vs_2672433022940378(3)/2672433022940378_2024.png,29.44402627,-83.28333557,mild
3,/content/0310_post_folder/0310_post_folder/folder_0/1019093062617211_vs_1080058700390354(2)/1080058700390354_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1019093062617211_vs_1080058700390354(2)/1080058700390354_2024.png,29.4397237,-83.29341531,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1019983222682029_vs_1717467469073988(1)/1717467469073988_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1019983222682029_vs_1717467469073988(1)/1717467469073988_2024.png,29.44290043,-83.28208566,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1020259162647959_vs_1261435285006783(3)/1261435285006783_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1020259162647959_vs_1261435285006783(3)/1261435285006783_2024.png,29.44403562,-83.28477323,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1030103948128949_vs_1218240882778509(2)/1218240882778509_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1030103948128949_vs_1218240882778509(2)/1218240882778509_2024.png,29.4381026,-83.28785241,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1030799174598210_vs_1074540787533974(1)/1074540787533974_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1030799174598210_vs_1074540787533974(1)/1074540787533974_2024.png,29.44343766,-83.28263819,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1032160758142676_vs_1268352181184326(1)/1268352181184326_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1032160758142676_vs_1268352181184326(1)/1268352181184326_2024.png,29.4432508,-83.28236461,mild
1,/content/0310_post_folder/0310_post_folder/folder_0/1032940671196690_vs_877932610977494(3)/877932610977494_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1032940671196690_vs_877932610977494(3)/877932610977494_2024.png,29.44504933,-83.28673124,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1037800984320799_vs_1292898091869435(3)/1292898091869435_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1037800984320799_vs_1292898091869435(3)/1292898091869435_2024.png,29.43932661,-83.28913987,mild
1,/content/0310_post_folder/0310_post_folder/folder_0/1037917407566629_vs_1246737846748609(3)/1246737846748609_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1037917407566629_vs_1246737846748609(3)/1246737846748609_2024.png,29.44254072,-83.28381836,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1039197443763210_vs_1218240882778509(3)/1218240882778509_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1039197443763210_vs_1218240882778509(3)/1218240882778509_2024.png,29.4381026,-83.28785241,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1039383127416260_vs_866785878878011(3)/866785878878011_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1039383127416260_vs_866785878878011(3)/866785878878011_2024.png,29.44234918,-83.28375936,mild
2,/content/0310_post_folder/0310_post_folder/folder_0/1039458687230168_vs_1244329063426533(3)/1244329063426533_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1039458687230168_vs_1244329063426533(3)/1244329063426533_2024.png,29.44288174,-83.2851702,mild
3,/content/0310_post_folder/0310_post_folder/folder_0/1042090610568988_vs_2277328279333099(1)/2277328279333099_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1042090610568988_vs_2277328279333099(1)/2277328279333099_2024.png,29.43748125,-83.2955128,mild
1,/content/0310_post_folder/0310_post_folder/folder_0/1042803333750791_vs_847808444196256(3)/847808444196256_2024.png,mild,/content/0310_post_folder/0310_post_folder/folder_0/1042803333750791_vs_847808444196256(3)/847808444196256_2024.png,29.4371916,-83.29528213,mild
